HOSTNAMES, CPUS, MEMORY, TMP_DISK, GRES
r2i2n28, 36, 85248, 900000, (null)
r2i2n29, 36, 85248, 900000, (null)
r2i2n30, 36, 85248, 900000, (null)
r2i2n31, 36, 85248, 900000, (null)
r2i2n32, 36, 85248, 900000, (null)
r2i2n33, 36, 85248, 900000, (null)
r2i2n34, 36, 85248, 900000, (null)
r2i2n35, 36, 85248, 900000, (null)
r2i3n0, 36, 85248, 900000, (null)
r2i3n1, 36, 85248, 900000, (null)
r2i3n2, 36, 85248, 900000, (null)
r2i3n3, 36, 85248, 900000, (null)
r2i3n6, 36, 85248, 900000, (null)
r2i3n7, 36, 85248, 900000, (null)
r2i3n8, 36, 85248, 900000, (null)
r2i3n9, 36, 85248, 900000, (null)
r2i3n10, 36, 85248, 900000, (null)
r2i3n11, 36, 85248, 900000, (null)
r2i3n12, 36, 85248, 900000, (null)
r2i3n13, 36, 85248, 900000, (null)
r2i3n14, 36, 85248, 900000, (null)
r2i3n15, 36, 85248, 900000, (null)
r2i3n16, 36, 85248, 900000, (null)
r2i3n17, 36, 85248, 900000, (null)
r2i3n19, 36, 85248, 900000, (null)
r2i3n20, 36, 85248, 900000, (null)
r2i3n21, 36, 85248, 900000, (null)
r2i3n22, 36, 85248, 900000, (null)
r2i3n23, 36, 85248, 900000, (null)
r2i3n24, 36, 85248, 900000, (null)
r2i3n25, 36, 85248, 900000, (null)
r2i3n26, 36, 85248, 900000, (null)
r2i3n28, 36, 85248, 900000, (null)
r2i3n30, 36, 85248, 900000, (null)
r2i3n31, 36, 85248, 900000, (null)
r2i3n32, 36, 85248, 900000, (null)
r2i3n33, 36, 85248, 900000, (null)
r2i3n34, 36, 85248, 900000, (null)
r2i3n35, 36, 85248, 900000, (null)
r2i4n0, 36, 85248, 900000, (null)
r2i4n1, 36, 85248, 900000, (null)
r2i4n2, 36, 85248, 900000, (null)
r2i4n3, 36, 85248, 900000, (null)
r2i4n4, 36, 85248, 900000, (null)
r2i4n5, 36, 85248, 900000, (null)
r2i4n6, 36, 85248, 900000, (null)
r2i4n7, 36, 85248, 900000, (null)
r2i4n8, 36, 85248, 900000, (null)
r2i4n9, 36, 85248, 900000, (null)
r2i4n10, 36, 85248, 900000, (null)
r2i4n11, 36, 85248, 900000, (null)
r2i4n12, 36, 85248, 900000, (null)
r2i4n13, 36, 85248, 900000, (null)
r2i4n15, 36, 85248, 900000, (null)
r2i4n16, 36, 85248, 900000, (null)
r2i4n17, 36, 85248, 900000, (null)
r2i4n18, 36, 85248, 900000, (null)
r2i4n19, 36, 85248, 900000, (null)
r2i4n20, 36, 85248, 900000, (null)
r2i4n21, 36, 85248, 900000, (null)
r2i4n22, 36, 85248, 900000, (null)
r2i4n23, 36, 85248, 900000, (null)
r2i4n24, 36, 85248, 900000, (null)
r2i4n25, 36, 85248, 900000, (null)
r2i4n26, 36, 85248, 900000, (null)
r2i4n27, 36, 85248, 900000, (null)
r2i4n28, 36, 85248, 900000, (null)
r2i4n29, 36, 85248, 900000, (null)
r2i4n30, 36, 85248, 900000, (null)
r2i4n31, 36, 85248, 900000, (null)
r2i4n32, 36, 85248, 900000, (null)
r2i4n33, 36, 85248, 900000, (null)
r2i4n34, 36, 85248, 900000, (null)
r2i4n35, 36, 85248, 900000, (null)
r2i5n0, 36, 85248, 900000, (null)
r2i5n1, 36, 85248, 900000, (null)
r2i5n2, 36, 85248, 900000, (null)
r2i5n3, 36, 85248, 900000, (null)
r2i5n4, 36, 85248, 900000, (null)
r2i5n5, 36, 85248, 900000, (null)
r2i5n6, 36, 85248, 900000, (null)
r2i5n7, 36, 85248, 900000, (null)
r2i5n8, 36, 85248, 900000, (null)
r2i5n9, 36, 85248, 900000, (null)
r2i5n10, 36, 85248, 900000, (null)
r2i5n11, 36, 85248, 900000, (null)
r2i5n12, 36, 85248, 900000, (null)
r2i5n13, 36, 85248, 900000, (null)
r2i5n14, 36, 85248, 900000, (null)
r2i5n15, 36, 85248, 900000, (null)
r2i5n16, 36, 85248, 900000, (null)
r2i5n17, 36, 85248, 900000, (null)
r2i5n18, 36, 85248, 900000, (null)
r2i5n19, 36, 85248, 900000, (null)
r2i5n20, 36, 85248, 900000, (null)
r2i5n21, 36, 85248, 900000, (null)
r2i5n22, 36, 85248, 900000, (null)
r2i5n23, 36, 85248, 900000, (null)
r2i5n24, 36, 85248, 900000, (null)
r2i5n25, 36, 85248, 900000, (null)
r2i5n26, 36, 85248, 900000, (null)
r2i5n27, 36, 85248, 900000, (null)
r2i5n28, 36, 85248, 900000, (null)
r2i5n29, 36, 85248, 900000, (null)
r2i5n30, 36, 85248, 900000, (null)
r2i5n31, 36, 85248, 900000, (null)
r2i5n32, 36, 85248, 900000, (null)
r2i5n33, 36, 85248, 900000, (null)
r2i5n34, 36, 85248, 900000, (null)
r2i5n35, 36, 85248, 900000, (null)
r2i6n0, 36, 85248, 900000, (null)
r2i6n1, 36, 85248, 900000, (null)
r2i6n2, 36, 85248, 900000, (null)
r2i6n3, 36, 85248, 900000, (null)
r2i6n4, 36, 85248, 900000, (null)
r2i6n5, 36, 85248, 900000, (null)
r2i6n6, 36, 85248, 900000, (null)
r2i6n8, 36, 85248, 900000, (null)
r2i6n9, 36, 85248, 900000, (null)
r2i6n12, 36, 85248, 900000, (null)
r2i6n13, 36, 85248, 900000, (null)
r2i6n14, 36, 85248, 900000, (null)
r2i6n16, 36, 85248, 900000, (null)
r2i6n17, 36, 85248, 900000, (null)
r2i6n18, 36, 85248, 900000, (null)
r2i6n19, 36, 85248, 900000, (null)
r2i6n20, 36, 85248, 900000, (null)
r2i6n21, 36, 85248, 900000, (null)
r2i6n22, 36, 85248, 900000, (null)
r2i6n23, 36, 85248, 900000, (null)
r2i6n24, 36, 85248, 900000, (null)
r2i6n26, 36, 85248, 900000, (null)
r2i6n27, 36, 85248, 900000, (null)
r2i6n28, 36, 85248, 900000, (null)
r2i6n29, 36, 85248, 900000, (null)
r2i6n30, 36, 85248, 900000, (null)
r2i6n32, 36, 85248, 900000, (null)
r2i6n33, 36, 85248, 900000, (null)
r2i6n34, 36, 85248, 900000, (null)
r2i6n35, 36, 85248, 900000, (null)
r2i7n0, 36, 85248, 900000, (null)
r2i7n1, 36, 85248, 900000, (null)
r2i7n2, 36, 85248, 900000, (null)
r2i7n3, 36, 85248, 900000, (null)
r2i7n5, 36, 85248, 900000, (null)
r2i7n6, 36, 85248, 900000, (null)
r2i7n7, 36, 85248, 900000, (null)
r2i7n8, 36, 85248, 900000, (null)
r2i7n9, 36, 85248, 900000, (null)
r2i7n10, 36, 85248, 900000, (null)
r2i7n11, 36, 85248, 900000, (null)
r2i7n12, 36, 85248, 900000, (null)
r2i7n13, 36, 85248, 900000, (null)
r2i7n14, 36, 85248, 900000, (null)
r2i7n15, 36, 85248, 900000, (null)
r2i7n16, 36, 85248, 900000, (null)
r2i7n17, 36, 85248, 900000, (null)
r2i7n18, 36, 85248, 900000, (null)
r2i7n19, 36, 85248, 900000, (null)
r2i7n20, 36, 85248, 900000, (null)
r2i7n21, 36, 85248, 900000, (null)
r2i7n22, 36, 85248, 900000, (null)
r2i7n23, 36, 85248, 900000, (null)
r2i7n24, 36, 85248, 900000, (null)
r2i7n25, 36, 85248, 900000, (null)
r2i7n26, 36, 85248, 900000, (null)
r2i7n27, 36, 85248, 900000, (null)
r2i7n28, 36, 85248, 900000, (null)
r2i7n29, 36, 85248, 900000, (null)
r2i7n30, 36, 85248, 900000, (null)
r2i7n31, 36, 85248, 900000, (null)
r2i7n32, 36, 85248, 900000, (null)
r2i7n33, 36, 85248, 900000, (null)
r2i7n34, 36, 85248, 900000, (null)
r3i0n0, 36, 85248, 900000, (null)
r3i0n1, 36, 85248, 900000, (null)
r3i0n2, 36, 85248, 900000, (null)
r3i0n3, 36, 85248, 900000, (null)
r3i0n4, 36, 85248, 900000, (null)
r3i0n5, 36, 85248, 900000, (null)
r3i0n6, 36, 85248, 900000, (null)
