run_id,run_id,experiment_id,slurm_job_id,start_time,update_time,node,size,depth,shape,dataset,learning_rate,batch_size,optimizer,is_gpu,batch,energy,run_time,filter_1,filter_2,filter_3,filter_3_stdevs,filter,start_time_int,start_offset,power,num_reps,std_power,std_energy,energy_overhead,non_overhead_energy,runtime_overhead,non_overhead_runtime
003d1f99-78e3-4d7b-91af-d08259094f19,003d1f99-78e3-4d7b-91af-d08259094f19,2137715,10430500,2022-10-20 04:49:58.547627+00:00,2022-10-20 04:52:40.425387+00:00,r3i1n20,1024,2,rectangle,banana,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,53822.993688,161.87776000000002,False,False,False,0.6296527599698409,False,1666241398547627000,2346394824432000,332.4915892584626,7,332.4915892584626,53822.993687999995,14028.665572999802,39794.32811500019,52.8839136,108.99384640000002
00432ea5-6eb3-4820-bfb5-fbf02204f0a3,00432ea5-6eb3-4820-bfb5-fbf02204f0a3,1980367,10430679,2022-10-20 16:04:35.822119+00:00,2022-10-20 16:11:38.347262+00:00,r2i2n34,2048,16,wide_first_2x,294_satellite_image,1e-04,256,Adam,0,energy_3_cpu_extra_depths,143996.6190469997,422.525143,False,False,False,1.1062223455542748,False,1666281875822119000,2386872098924000,340.80011907599,1,340.80011907599,143996.6190469997,14028.665572999802,129967.95347399989,52.8839136,369.64122940000004
00446357-1e21-4ef3-be2f-9b6e0aa612bb,00446357-1e21-4ef3-be2f-9b6e0aa612bb,1979642,10430459,2022-10-20 01:13:48.465188+00:00,2022-10-20 01:34:03.072343+00:00,r4i4n16,4194304,16,rectangle,294_satellite_image,1e-04,256,Adam,0,energy_3_cpu_extra_depths,415870.80943199975,1214.607155,False,False,False,0.1878606372043207,False,1666228428465188000,2333424741993000,342.391206671263,1,342.391206671263,415870.80943199975,14028.665572999802,401842.14385899995,52.8839136,1161.7232414
0045c1e8-cf40-4cdd-a1a1-caeb0778680b,0045c1e8-cf40-4cdd-a1a1-caeb0778680b,1979055,10392705,2022-10-12 14:45:06.095003+00:00,2022-10-12 17:51:03.889477+00:00,r2i5n29,16777216,4,rectangle,adult,1e-04,256,Adam,0,energy_2_cpu,4135132.6275710007,11157.794474,False,False,False,1.156958322305611,False,1665585906095003000,1690902371808000,370.60483926341595,1,370.60483926341595,4135132.6275710007,14028.665572999802,4121103.9619980007,52.8839136,11104.9105604
004742a8-7b49-48e7-9c5c-c2e5ead55cb3,004742a8-7b49-48e7-9c5c-c2e5ead55cb3,1896992,10430765,2022-10-21 00:35:04.787749+00:00,2022-10-21 01:22:50.128346+00:00,r6i3n19,8388608,9,wide_first_8x,nursery,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,1041141.0432220001,2865.3405970000003,False,False,False,0.1638805205533011,False,1666312504787749000,2417501064554000,363.3568184920391,1,363.3568184920391,1041141.0432220001,14028.665572999802,1027112.3776490004,52.8839136,2812.4566834
0047845d-510d-4278-9ee0-e68c520b78ea,0047845d-510d-4278-9ee0-e68c520b78ea,1879275,10370709,2022-10-02 03:27:26.425726+00:00,2022-10-02 03:55:09.169615+00:00,r7i4n1,256,6,exponential,adult,1e-04,256,Adam,0,energy_2_cpu,588719.2020329998,1662.743889,False,False,False,0.1013407052759154,False,1664681246425726000,786242702531000,354.06487188298416,1,344.06487188298416,572091.7631429998,14028.665572999802,558063.09757,52.8839136,1609.8599754000002
004c4792-17a5-4d63-8eef-bb7584ccfaf3,004c4792-17a5-4d63-8eef-bb7584ccfaf3,1945430,10430420,2022-10-20 19:29:01.240643+00:00,2022-10-20 19:34:39.516935+00:00,r6i7n4,512,3,wide_first_4x,nursery,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,110259.41522399965,338.276292,False,False,False,0.6524127067288392,False,1666294141240643000,2399137517448000,325.9448499098472,1,325.9448499098472,110259.41522399966,14028.665572999802,96230.74965099986,52.8839136,285.3923784
004d4fbc-eaf5-4b85-bb5b-2573f1de0c6f,004d4fbc-eaf5-4b85-bb5b-2573f1de0c6f,2084205,10370303,2022-10-02 03:18:10.978958+00:00,2022-10-02 04:03:21.075998+00:00,r1i0n10,32768,5,exponential,mnist,1e-04,256,Adam,0,energy_2_cpu,872799.0538099997,2710.09704,False,False,False,0.3564469174919981,False,1664680690978958000,785687255763000,322.05453934963145,1,322.05453934963145,872799.0538099997,14028.665572999802,858770.388237,52.8839136,2657.2131264
0057bd7a-57c6-430e-b450-ffb1068c4695,0057bd7a-57c6-430e-b450-ffb1068c4695,1907585,10430806,2022-10-20 17:04:12.655195+00:00,2022-10-20 17:08:03.345471+00:00,r6i6n8,16384,3,wide_first_16x,wine_quality_white,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,71581.45893999985,230.690276,False,False,False,0.9378778480534726,False,1666285452655195000,2390448932000000,310.29248471660696,1,310.29248471660696,71581.45893999985,14028.665572999802,57552.79336700005,52.8839136,177.8063624
00583268-959b-46c5-88ba-8d5e428ed3ed,00583268-959b-46c5-88ba-8d5e428ed3ed,1908418,10430277,2022-10-20 09:37:39.226923+00:00,2022-10-20 09:42:34.833519+00:00,r2i1n35,32768,14,wide_first_16x,wine_quality_white,1e-04,256,Adam,0,energy_4_cpu_extra_shapes,92783.7936649998,295.606596,False,False,False,0.5592420659103293,False,1666258659226923000,2363655503728000,313.8759246935065,1,313.8759246935065,92783.7936649998,14028.665572999802,78755.128092,52.8839136,242.72268240000002
