run_id,params,depth,epochs,batch_size,target,family,source_dataset,is_gpu,n_observations,n_features,n_classes,task_encoded,imbalance,power,duration,shape_exponential,shape_rectangle,shape_rectangle_residual,shape_trapezoid,shape_wide_first_16x,shape_wide_first_2x,shape_wide_first_4x,shape_wide_first_8x,group_key
ddef92dc-fb10-4954-a761-f4ebea04ca0f,512,5,3000,256,642169.9693339999,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,423.6760122230822,1515.710002,0,0,1,0,0,0,0,0,512|5|1|15000.0|rectangle_residual
ddefc4bf-6f16-4063-afce-69989e1cba9a,32,4,3000,256,776722.3534939997,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,425.8248705089827,1824.041777,1,0,0,0,0,0,0,0,32|4|1|20640.0|exponential
de00525e-5a47-4d3e-badd-6e40a29240fd,4096,2,3000,256,383047.1302499997,MLP,BUTTER-E,1,4898.0,11.0,7.0,1.0,0.2119743377393727,416.9999999999996,918.57825,0,1,0,0,0,0,0,0,4096|2|1|4898.0|rectangle
de0dde4f-9e20-487e-ad5d-953fd751d36b,1048576,9,3000,256,673392.945204,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,413.1176758789172,1630.0269500000002,0,1,0,0,0,0,0,0,1048576|9|1|15000.0|rectangle
de118402-62ef-4344-b0c5-c34dcfccf9f8,262144,4,3000,256,455637.8177160001,MLP,BUTTER-E,1,6435.0,36.0,6.0,0.0,0.0276087321122286,430.8717079160831,1057.4790810000002,0,0,1,0,0,0,0,0,262144|4|1|6435.0|rectangle_residual
de12afbe-ca08-4a4f-b936-5e5f88d79467,4194304,9,3000,256,1060290.105381,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,451.2540963676156,2349.652034,0,0,0,0,0,1,0,0,4194304|9|1|20640.0|wide_first_2x
de13fa22-e43c-483a-a80e-8d78cf9bcb7d,65536,3,3000,256,577734.086132,MLP,BUTTER-E,1,12958.0,8.0,4.0,1.0,0.0900899366400157,419.0177095846604,1378.782025,1,0,0,0,0,0,0,0,65536|3|1|12958.0|exponential
de142ffc-a37c-4921-a517-84ce2abaf99c,131072,9,3000,256,2036462.2539300004,MLP,BUTTER-E,1,67557.0,42.0,3.0,1.0,0.2546625519372754,414.0374832570172,4918.5456300000005,0,0,1,0,0,0,0,0,131072|9|1|67557.0|rectangle_residual
de159550-3f12-4567-95d5-04f1aff8cc63,4194304,7,3000,256,1053620.903735,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,465.42714797402,2263.77191,0,0,0,0,0,1,0,0,4194304|7|1|20640.0|wide_first_2x
de15f1ad-07ec-4c73-8bc8-3d59df69cd41,1048576,2,3000,256,2073684.068304,MLP,BUTTER-E,1,67557.0,42.0,3.0,1.0,0.2546625519372754,436.6088909623957,4749.523226,0,1,0,0,0,0,0,0,1048576|2|1|67557.0|rectangle
de1ba6f4-57a9-4349-9e90-71a3369bf2db,262144,18,3000,256,425118.8830079998,MLP,BUTTER-E,1,4898.0,11.0,7.0,1.0,0.2119743377393727,415.6199924022641,1022.854749,0,1,0,0,0,0,0,0,262144|18|1|4898.0|rectangle
